diseases,symptoms
Blepharitis,"Red, swollen_eyelids, flaking_skin, burning_sensation, crusting_along_the_eyelashes"
Chalazion,"Painless_lump_on_the_eyelid, redness, swelling"
Urinary Tract Infection,"Painful_urination, frequent_urination, foul_smelling-urine, pelvic_pain"
Yeast Infection(Candidiasis),"Itching, irritation, thick-white_discharge, redness, swelling, pain_during_intercourse, burning_during_urination"
Bladder Infection(Interstitial Cystitis),"Urgent_need_to urinate, pain_during_urination, pelvic_pain, discomfort_in_the_bladder, pressure_in_the_bladder, pain_during_sexual_intercourse"
Bacterial Vaginosis,"Thin_gray_white_vaginal_discharge, fishy_odor, vaginal_itching, burning_during_urination. "
Headaches(Tension),"Dullness, aching_forehead, aching_neck, tightness, pressure_sensation"
Migraine,"Throbbing_pain, sensitivity_to_light_sound, nausea, visual_disturbances "
Insomnia(short-term),"Difficulty_falling_asleep, asleep, waking_up_too_early, daytime_fatigue"
Restless Leg Syndrome,"itching, tingling, crawling, urge_to_move_legs, difficulty_sleeping"
Chickenpox,"Itchy_red_spots, blisters, fever, fatigue, loss_of_appetite"
Measels,"High_fever, cough, runny_nose, red_eyes, red_blotchy_rash"
Mumps,"Swollen_salivary_glands, fever, headache, fatigue, muscle_aches"
Rubella,"Low_grade_fever, rash, swollen_lymph_nodes, joint_pain"
Scarlet Fever,"High_fever, sore_throat, red_rash, strawberry_tongue"
"Hand, Foot, and Mouth Diseases","Fever, sore_throat, painful_sores_in_mouth, rash_on_the_hands_and_feet, loss_of_appetite, irritability_in_infants "
Mononucleosis,"Fatigue, fever, sore_throat, swollen_lymph nodes, swollen_spleen"
Chlamydia,"Painful_urination, abnormal_vaginal_discharge, penile_discharge, pain_during_intercourse, pelvic_pain"
Gonorrhea,"Painful_urination, abnormal_discharge_from_genitals, pain_during_intercourse, pelvic_pain"
Herpes,"Painful_blisters, sores_around _mouth, sore_genitals, fever, body_aches, swollen_lymph_nodes"
Human Papillomavirus,"Genital_warts, abnormal_Pap_smear_results"
Iron Deficiency,"Fatigue, weakness, pale-skin, shortness_of_breath, dizziness"
Varicose Veins,"Bulging, twisted_veins, leg_pain, swelling, heaviness"
Thrombophlebitis,"Pain, swelling, redness_along _vein, warmth_in_affected_area"
Dehydration,"Dry_mouth, dark_urine, dizziness, fatigue, confusion"
Heat Exhaustion,"Heavy_sweating, weakness, dizziness, headache, nausea, fainting"
Motion Sickness,"Nausea, dizziness, sweating, vomiting, headache"
Jet Lag,"Fatigue, insomnia, difficulty_concentrating, mood_changes"
Hyperhidrosis(Excessive Sweating),"Excessive_sweating, damp_skin, body_odor"
Tetanus,"Muscle_stiffness and spasms, difficulty_swallowing, seizures, fever, high_blood_pressure"
Tuberculosis,"Cough, chest_pain, coughing_up_blood, fatigue, weight_loss, night_sweats"
Styes,"sensation_in_the_eye, Red,_swollen_lump_on_eyelid, increased_tearing, sensitivity_to_light, pain, tenderness"
Chickenpox,"Itchy_red_spots, fever, fatigue, blisters, loss_of_appetite"
Impetigo,"ooze, yellowish_brown_crust"
Sinusitis,"runny_nose, cough, nasal_congestion, loss_of_smell, Facial_pain_pressure, sore_throat"
Rubella,"swollen_lymph_nodes, rash, Low_grade_fever, joint_pain"
Common Cold(Rhinovirus),"coughing, sore_throat, sneezing, headaches, body_aches, Runny_nose"
Styes,"pain, sensation_in_the_eye, tenderness, Red,_swollen_lump_on_eyelid, sensitivity_to_light"
Chickenpox,"loss_of_appetite, blisters, fatigue, fever"
Motion Sickness,"vomiting, headache, Nausea, dizziness"
Bladder Infection(Interstitial Cystitis),"pain_during_sexual_intercourse, discomfort_in_the_bladder, pelvic_pain, pressure_in_the_bladder, pain_during_urination"
Nasal Polyps,"Persistent_nasal_congestion, reduced_absense_of_smell, postnasal_drip, snoring, difficulty_breathing, facial_pain or pressure, runny_nose"
Peptic Ulcers,"weight_loss, bloating, heartburn, vomiting, Burning_stomach_pain, nausea, intolerance_to_fatty_foods, dark_black_stools"
Hyperhidrosis(Excessive Sweating),"Excessive_sweating, body_odor"
Mumps,"muscle_aches, Swollen_salivary_glands, headache, fever"
Typhoid Fever,"constipation, nausea, fatigue, abdominal_pain, headache, Prolonged_fever"
Hives(Urticaria),"swelling, itchy_welts_on_skin"
Varicose Veins,"heaviness, twisted_veins, Bulging, leg_pain, swelling"
Nasal Polyps,"snoring, runny_nose, Persistent_nasal_congestion, reduced_absense_of_smell, difficulty_breathing, postnasal_drip"
Jet Lag,"Fatigue, difficulty_concentrating, mood_changes, insomnia"
Nasal Polyps,"facial_pain or pressure, postnasal_drip, reduced_absense_of_smell, difficulty_breathing, snoring, runny_nose"
Diarrhea,"nausea, dehydration, abdominal_cramps, frequent _bowel_movements, urgency_bowel_movement, Loose, bloating, watery_stools"
Hay Fever,"postnasal_drip, throat_discomfort, watery_eyes, cough, fatigue, itchy_eyes, runny_stuffy nose, Sneezing"
Otitis Externa(Swimmer's Ear),"itching_in_ear_canal, hearing_loss, fluid_drainage, Ear_pain, swelling"
Constipation,"Infrequent_bowel_movement, hard_dry_stools, bloating,  difficulty_passing_stools, abdominal_discomfort"
Pharyngitis(Sore Throat),"fever, cough, swollen_tonsils, Sore_throat, hoarseness"
Typhoid Fever,"fatigue, diarrhea, constipation, headache, abdominal_pain, nausea, Prolonged_fever"
Lactose Intolerance,"bloating, gas_after_consuming_dairy_products, abdominal_cramps, Diarrhea, nausea"
Food Allergy,"itching, difficulty_breathing, diarrhea, Hives, abdominal_pain, swelling_of_lips_tongue, vomiting, nausea"
Chronic Bronchitis,"shortness_of_breath, Persistent_cough_with_mucus"
Herpes,"body_aches, fever, Painful_blisters, swollen_lymph_nodes, sores_around _mouth, sore_genitals"
Acute Bronchitis,"shortness_of_breath, wheezing, mucus, chest_discomfort, Cough"
Typhoid Fever,"fatigue, nausea, Prolonged_fever, headache, diarrhea, constipation, abdominal_pain"
Migraine,"nausea, sensitivity_to_light_sound, Throbbing_pain, visual_disturbances "
Mononucleosis,"Fatigue, fever, sore_throat, swollen_spleen, swollen_lymph nodes"
Chronic Bronchitis,"shortness_of_breath, Persistent_cough_with_mucus"
Varicose Veins,"swelling, twisted_veins, Bulging, leg_pain"
Bacterial Vaginosis,"Thin_gray_white_vaginal_discharge, burning_during_urination. , fishy_odor"
Heat Exhaustion,"Heavy_sweating, dizziness, nausea, fainting, weakness"
Common Cold(Rhinovirus),"sore_throat, headaches, body_aches, sneezing, coughing, Runny_nose"
Dry Eye Syndrome,"stinging, blurred_vision, Dryness, burning, light_sensitivity"
Blepharitis,"crusting_along_the_eyelashes, flaking_skin, swollen_eyelids, Red"
Gonorrhea,"pain_during_intercourse, Painful_urination, pelvic_pain"
Peptic Ulcers,"nausea, heartburn, bloating, weight_loss, dark_black_stools, vomiting, vomiting_blood, Burning_stomach_pain"
Gonorrhea,"pelvic_pain, abnormal_discharge_from_genitals, pain_during_intercourse, Painful_urination"
Gastroenteritis(Stomach Flu),"muscle_aches, vomiting, nausea, abdominal_cramps, low_grade_fever"
Nosebleeds(Epistaxis),"Bleeding_nostrils, lightheadedness, dizziness "
Gastroenteritis(Stomach Flu),"vomiting, abdominal_cramps, Watery_diarrhea, nausea, low_grade_fever, muscle_aches"
Thrombophlebitis,"warmth_in_affected_area, redness_along _vein, swelling"
Allergic Rhinitis,"Sneezing, runny_ stuffy nose, postnasal_drip, itchy_throat, itchy_eyes, coughing, fatigue"
Tendinitis,"limited_motion, swelling,  stiffness_in_tendon, tenderness"
Urinary Tract Infection,"foul_smelling-urine, Painful_urination, frequent_urination, pelvic_pain"
Common Cold(Rhinovirus),"headaches, sneezing, Runny_nose, coughing, body_aches, sore_throat"
Blepharitis,"crusting_along_the_eyelashes, swollen_eyelids, flaking_skin, burning_sensation, Red"
Iron Deficiency,"weakness, shortness_of_breath, Fatigue, pale-skin, dizziness"
Human Papillomavirus,"Genital_warts, abnormal_Pap_smear_results"
Diarrhea,"abdominal_cramps, bloating, dehydration, nausea, Loose, frequent _bowel_movements, watery_stools, urgency_bowel_movement"
Mumps,"fatigue, fever, headache, Swollen_salivary_glands"
Styes,"tenderness, pain, sensation_in_the_eye, Red,_swollen_lump_on_eyelid, increased_tearing, sensitivity_to_light"
Mumps,"fatigue, fever, muscle_aches, headache, Swollen_salivary_glands"
Migraine,"nausea, sensitivity_to_light_sound, Throbbing_pain"
Tonsilitis,"Sore_throat, bad_breath, difficulty_swallowing, swollen_tonsils, swollen_lymph_nodes"
Influenza(Flu),"fatigue, Fever, cough, muscle_pain, diarrhea, headache, sometimes_vomiting, sore_throat"
Rubella,"swollen_lymph_nodes, joint_pain, rash"
Impetigo,"yellowish_brown_crust, ooze"
Pharyngitis(Sore Throat),"hoarseness, swollen_tonsils, cough, fever, Sore_throat"
Hyperhidrosis(Excessive Sweating),"damp_skin, Excessive_sweating"
Migraine,"sensitivity_to_light_sound, Throbbing_pain, visual_disturbances , nausea"
Acid Reflux,"regurgitation_of_food, Heartburn, sour_liquid, hoarseness, sensation_of_lump_in_throat, chronic_cough, difficulty_swallowing, sore_throat"
Bladder Infection(Interstitial Cystitis),"pain_during_sexual_intercourse, pelvic_pain, pressure_in_the_bladder, pain_during_urination, discomfort_in_the_bladder"
Dermatitis(Eczema),"blisters, dryness, inflamed_skin, cracking, thickened_skin, itching, Red"
Sinusitis,"sore_throat, Facial_pain_pressure, runny_nose, cough, nasal_congestion, loss_of_smell"
Herpes,"fever, Painful_blisters, swollen_lymph_nodes, sore_genitals, sores_around _mouth, body_aches"
Fungal Infection,"blisters, itching, Skin_rashes, cracking_skin, nail_discoloration, respiratory_issues, redness, fatigue"
Cold Sores(Herpes Simplex Virus),"Tingling, small_fluid-filled_blisters_around_the_mouth, blisters_around_lips  pain_discomfort, fever, itching"
Dermatitis(Eczema),"Red, itching, blisters, scaling, thickened_skin, inflamed_skin, cracking, dryness"
Styes,"sensitivity_to_light, tenderness, sensation_in_the_eye, increased_tearing, Red,_swollen_lump_on_eyelid, pain"
Gonorrhea,"pain_during_intercourse, Painful_urination, abnormal_discharge_from_genitals"
Tuberculosis,"night_sweats, coughing_up_blood, Cough, chest_pain, fatigue"
Restless Leg Syndrome,"difficulty_sleeping, tingling, crawling, itching, urge_to_move_legs"
Mononucleosis,"sore_throat, fever, swollen_spleen, Fatigue, swollen_lymph nodes"
Vertigo,"vomiting, dizziness, headaches, abnormal_eye_movements, loss_of_balance, Sensation_of_spinning, difficulty_walking"
Chronic Bronchitis,"wheezing, Persistent_cough_with_mucus, shortness_of_breath"
Yeast Infection(Candidiasis),"burning_during_urination, thick-white_discharge, pain_during_intercourse, irritation, swelling, redness"
"Hand, Foot, and Mouth Diseases","rash_on_the_hands_and_feet, irritability_in_infants , sore_throat, loss_of_appetite, Fever, painful_sores_in_mouth"
Measels,"red_eyes, red_blotchy_rash, runny_nose, cough"
Allergic Rhinitis,"fatigue, coughing, runny_ stuffy nose, wheezing, itchy_eyes, Sneezing, itchy_throat"
Chickenpox,"fever, Itchy_red_spots, fatigue, loss_of_appetite, blisters"
Thrombophlebitis,"swelling, redness_along _vein, warmth_in_affected_area, Pain"
Sore Throat,"Pain_or_scratchy_sensation_in_throat, red_swollen_tonsils, hoarse_voice, swollen_glands"
Acid Reflux,"chronic_cough, regurgitation_of_food, chest_pain, hoarseness, Heartburn, sore_throat, difficulty_swallowing, sensation_of_lump_in_throat, sour_liquid"
Diarrhea,"Loose, watery_stools, dehydration, bloating, urgency_bowel_movement, frequent _bowel_movements, nausea, abdominal_cramps"
Chalazion,"redness, Painless_lump_on_the_eyelid, swelling"
Tetanus,"Muscle_stiffness and spasms, fever, high_blood_pressure, difficulty_swallowing, seizures"
Iron Deficiency,"Fatigue, weakness, dizziness, shortness_of_breath"
Herpes,"body_aches, fever, swollen_lymph_nodes, sore_genitals, Painful_blisters"
Mononucleosis,"fever, Fatigue, swollen_spleen, swollen_lymph nodes, sore_throat"
Diarrhea,"Loose, urgency_bowel_movement, nausea, frequent _bowel_movements, dehydration, abdominal_cramps, watery_stools"
Tinnitus,"hissing, buzzing, roaring, Ringing"
Tendinitis,"limited_motion,  stiffness_in_tendon, Pain, swelling, tenderness"
Tetanus,"seizures, high_blood_pressure, fever, Muscle_stiffness and spasms, difficulty_swallowing"
Nosebleeds(Epistaxis),"dizziness , lightheadedness"
Irritable Bowel Syndrome,"diarrhea, gas, Abdominal_pain, bloating, constipation, cramping, changes_in_bowel_habits"
Typhoid Fever,"fatigue, nausea, diarrhea, headache, constipation, abdominal_pain"
Impetigo,"ooze, yellowish_brown_crust, Red_sores"
Migraine,"visual_disturbances , sensitivity_to_light_sound, Throbbing_pain, nausea"
Tendinitis,"limited_motion,  stiffness_in_tendon, Pain, swelling"
Mumps,"fatigue, headache, fever, muscle_aches"
Hyperhidrosis(Excessive Sweating),"damp_skin, Excessive_sweating"
Chickenpox,"Itchy_red_spots, fatigue, fever, loss_of_appetite, blisters"
Measels,"runny_nose, High_fever, cough, red_blotchy_rash, red_eyes"
Hyperhidrosis(Excessive Sweating),"body_odor, damp_skin"
Fungal Infection,"scaling, blisters, Skin_rashes, itching, nail_discoloration, fatigue, respiratory_issues, cracking_skin, redness"
Tendinitis," stiffness_in_tendon, tenderness, swelling, limited_motion"
Rubella,"swollen_lymph_nodes, rash, joint_pain"
"Hand, Foot, and Mouth Diseases","painful_sores_in_mouth, sore_throat, Fever, irritability_in_infants , rash_on_the_hands_and_feet, loss_of_appetite"
Dermatitis(Eczema),"thickened_skin, itching, inflamed_skin, cracking, scaling, dryness, blisters"
Diarrhea,"dehydration, nausea, Loose, abdominal_cramps, urgency_bowel_movement, bloating, frequent _bowel_movements"
Chickenpox,"Itchy_red_spots, fever, loss_of_appetite, fatigue, blisters"
Peptic Ulcers,"nausea, heartburn, intolerance_to_fatty_foods, vomiting_blood, vomiting, dark_black_stools, bloating, Burning_stomach_pain"
Pharyngitis(Sore Throat),"hoarseness, Sore_throat, pain_when_swallowing, fever, cough, swollen_tonsils"
Measels,"runny_nose, High_fever, red_blotchy_rash, cough"
Hives(Urticaria),"swelling, burning_stinging_sensations"
Motion Sickness,"Nausea, dizziness, vomiting, sweating, headache"
Mononucleosis,"fever, swollen_lymph nodes, Fatigue, swollen_spleen"
Scarlet Fever,"strawberry_tongue, sore_throat, High_fever, red_rash"
Hyperhidrosis(Excessive Sweating),"Excessive_sweating, body_odor"
Influenza(Flu),"sometimes_vomiting, fatigue, Fever, diarrhea, headache, sore_throat, muscle_pain"
Otitis Media(Ear Infection),"balance_issues, fluid_drainage_from_ear, irritability, Ear_pain, fever"
Tendinitis,"tenderness, Pain,  stiffness_in_tendon, limited_motion, swelling"
Hemorrhoids,"itching, swelling_around_anus, discomfort_during_bowel_movements, protrusion_of_tissue, irritation_in_anal_region, bleeding_during_bowel_movements, Pain"
Chronic Bronchitis,"Persistent_cough_with_mucus, shortness_of_breath"
Thrombophlebitis,"redness_along _vein, swelling, warmth_in_affected_area, Pain"
Sinusitis,"runny_nose, Facial_pain_pressure, loss_of_smell, sore_throat, nasal_congestion"
Tinnitus,"roaring, buzzing, clicking_sounds, hissing"
Rubella,"Low_grade_fever, joint_pain, swollen_lymph_nodes, rash"
Hives(Urticaria),"itchy_welts_on_skin, burning_stinging_sensations"
Malaria,"headache, chills, Fever, fatigue, vomiting"
Bacterial Vaginosis,"fishy_odor, Thin_gray_white_vaginal_discharge, burning_during_urination. "
Tendinitis,"limited_motion, swelling, Pain, tenderness"
Jet Lag,"Fatigue, difficulty_concentrating, insomnia"
Mononucleosis,"Fatigue, swollen_lymph nodes, sore_throat, swollen_spleen, fever"
Headaches(Tension),"aching_forehead, Dullness, tightness, pressure_sensation"
Typhoid Fever,"diarrhea, nausea, fatigue, abdominal_pain, constipation, headache, Prolonged_fever"
Impetigo,"Red_sores, yellowish_brown_crust, ooze"
Acid Reflux,"sensation_of_lump_in_throat, Heartburn, difficulty_swallowing, chest_pain, hoarseness, sore_throat, sour_liquid, chronic_cough, regurgitation_of_food"
Mononucleosis,"sore_throat, Fatigue, swollen_spleen, fever, swollen_lymph nodes"
Dry Eye Syndrome,"burning, blurred_vision, Dryness, redness, light_sensitivity, stinging"
Sinusitis,"loss_of_smell, runny_nose, nasal_congestion, Facial_pain_pressure, sore_throat"
Dermatitis(Eczema),"blisters, cracking, thickened_skin, inflamed_skin, scaling, itching, dryness, Red"
Laryngitis,"dry_cough, loss_of_voice, Hoarseness, sore_throat, difficulty_speaking"
Chronic Bronchitis,"Persistent_cough_with_mucus, shortness_of_breath, wheezing"
Cold Sores(Herpes Simplex Virus),"blisters_around_lips  pain_discomfort, itching, Tingling, fever, small_fluid-filled_blisters_around_the_mouth"
Dehydration,"confusion, dark_urine, dizziness, Dry_mouth"
Psoriasis,"silvery scales, itching_burning_sensations, Red_patches_of_skin, thickened_pitted_nails, covered_with_thick, swollen_joints"
Tetanus,"seizures, fever, Muscle_stiffness and spasms, difficulty_swallowing"
Malaria,"chills, Fever, vomiting, headache, fatigue"
Restless Leg Syndrome,"difficulty_sleeping, itching, urge_to_move_legs, crawling"
Gonorrhea,"pelvic_pain, pain_during_intercourse, abnormal_discharge_from_genitals, Painful_urination"
Conjunctivitis,"irritation, itching, yellow_green_discharge, crusting_of_the_eyelids, increased_tear_production, sensitivity_to_light"
Migraine,"visual_disturbances , nausea, sensitivity_to_light_sound"
Hives(Urticaria),"burning_stinging_sensations, itchy_welts_on_skin"
Hives(Urticaria),"swelling, itchy_welts_on_skin, burning_stinging_sensations"
Malaria,"chills, vomiting, Fever, fatigue, headache"
Acid Reflux,"sensation_of_lump_in_throat, sore_throat, chest_pain, Heartburn, sour_liquid, difficulty_swallowing, chronic_cough, regurgitation_of_food"
Influenza(Flu),"cough, muscle_pain, sore_throat, Fever, diarrhea, sometimes_vomiting, fatigue, headache"
Nosebleeds(Epistaxis),"dizziness , Bleeding_nostrils, lightheadedness"
Nosebleeds(Epistaxis),"Bleeding_nostrils, dizziness "
Nasal Polyps,"snoring, postnasal_drip, difficulty_breathing, reduced_absense_of_smell, runny_nose, facial_pain or pressure, Persistent_nasal_congestion"
Acne," red_swollen_skin, blackheads, cysts, Pimples, nodules, whiteheads"
Bacterial Vaginosis,"Thin_gray_white_vaginal_discharge, fishy_odor, vaginal_itching"
Restless Leg Syndrome,"itching, urge_to_move_legs, crawling, tingling, difficulty_sleeping"
Heat Exhaustion,"nausea, dizziness, fainting, Heavy_sweating, weakness"
Hemorrhoids,"Pain, itching, discomfort_during_bowel_movements, swelling_around_anus, bleeding_during_bowel_movements, protrusion_of_tissue"
Hay Fever,"itchy_mouth, fatigue, Sneezing, itchy_eyes, throat_discomfort, runny_stuffy nose, cough, postnasal_drip"
Varicose Veins,"leg_pain, twisted_veins, swelling, heaviness"
Acne,"whiteheads, cysts, painful_skin,  red_swollen_skin, nodules, blackheads, Pimples"
Allergic Conjunctivitis,"redness, watery_discharge, Itchy_eyes"
Mononucleosis,"Fatigue, fever, sore_throat, swollen_spleen"
Migraine,"nausea, Throbbing_pain, visual_disturbances "
Gonorrhea,"pain_during_intercourse, pelvic_pain, abnormal_discharge_from_genitals, Painful_urination"
Malaria,"headache, chills, vomiting, Fever"
Dry Eye Syndrome,"redness, stinging, blurred_vision, Dryness, burning, light_sensitivity"
Styes,"pain, increased_tearing, Red,_swollen_lump_on_eyelid, sensitivity_to_light, tenderness"
Dehydration,"dizziness, confusion, fatigue, Dry_mouth"
Human Papillomavirus,Genital_warts
Thrombophlebitis,"Pain, redness_along _vein, swelling, warmth_in_affected_area"
Bladder Infection(Interstitial Cystitis),"pelvic_pain, pain_during_sexual_intercourse, Urgent_need_to urinate, pain_during_urination, discomfort_in_the_bladder, pressure_in_the_bladder"
Yeast Infection(Candidiasis),"Itching, pain_during_intercourse, burning_during_urination, irritation, redness, thick-white_discharge"
Hay Fever,"itchy_mouth, throat_discomfort, itchy_eyes, watery_eyes, fatigue, postnasal_drip, Sneezing, cough"
Sinusitis,"sore_throat, nasal_congestion, cough, runny_nose, loss_of_smell"
Gastroenteritis(Stomach Flu),"low_grade_fever, muscle_aches, nausea, Watery_diarrhea, vomiting"
Irritable Bowel Syndrome,"diarrhea, cramping, changes_in_bowel_habits, gas, Abdominal_pain, constipation"
Typhoid Fever,"abdominal_pain, fatigue, diarrhea, Prolonged_fever, constipation, headache"
Sore Throat,"red_swollen_tonsils, Pain_or_scratchy_sensation_in_throat, swollen_glands, difficulty_swallowing"
Hyperhidrosis(Excessive Sweating),"damp_skin, body_odor, Excessive_sweating"
Food Poisining,"weakness, dehydration, vomiting, fever, Nausea, diarrhea, abdominal_cramps"
Common Cold(Rhinovirus),"headaches, Runny_nose, sneezing, body_aches, sore_throat"
Psoriasis,"covered_with_thick, silvery scales, itching_burning_sensations, thickened_pitted_nails, dry_cracked_skin_bleed, Red_patches_of_skin"
Nosebleeds(Epistaxis),"dizziness , lightheadedness, Bleeding_nostrils"
Blepharitis,"swollen_eyelids, Red, burning_sensation, flaking_skin"
Hemorrhoids,"Pain, swelling_around_anus, discomfort_during_bowel_movements, itching, irritation_in_anal_region, protrusion_of_tissue, bleeding_during_bowel_movements"
Chlamydia,"abnormal_vaginal_discharge, penile_discharge, pain_during_intercourse, pelvic_pain, Painful_urination"
Hives(Urticaria),"swelling, itchy_welts_on_skin"
Gastroenteritis(Stomach Flu),"abdominal_cramps, nausea, low_grade_fever, Watery_diarrhea, muscle_aches"
Restless Leg Syndrome,"urge_to_move_legs, itching, tingling, crawling"
Migraine,"sensitivity_to_light_sound, visual_disturbances , nausea, Throbbing_pain"
Styes,"sensitivity_to_light, Red,_swollen_lump_on_eyelid, pain, sensation_in_the_eye, increased_tearing"
Insomnia(short-term),"daytime_fatigue, Difficulty_falling_asleep, asleep, waking_up_too_early"
Irritable Bowel Syndrome,"cramping, diarrhea, bloating, gas, constipation, Abdominal_pain"
Psoriasis,"silvery scales, swollen_joints, itching_burning_sensations, covered_with_thick, thickened_pitted_nails, Red_patches_of_skin"
Bladder Infection(Interstitial Cystitis),"pelvic_pain, Urgent_need_to urinate, discomfort_in_the_bladder, pressure_in_the_bladder, pain_during_urination, pain_during_sexual_intercourse"
Irritable Bowel Syndrome,"diarrhea, gas, cramping, bloating, Abdominal_pain, constipation, changes_in_bowel_habits"
Bladder Infection(Interstitial Cystitis),"pelvic_pain, pain_during_urination, pain_during_sexual_intercourse, Urgent_need_to urinate, discomfort_in_the_bladder"
Allergic Rhinitis,"postnasal_drip, coughing, itchy_eyes, Sneezing, wheezing, itchy_throat, fatigue"
Scarlet Fever,"sore_throat, strawberry_tongue, red_rash, High_fever"
Gastroenteritis(Stomach Flu),"muscle_aches, nausea, vomiting, abdominal_cramps, low_grade_fever, Watery_diarrhea"
Chronic Bronchitis,"shortness_of_breath, Persistent_cough_with_mucus"
Motion Sickness,"Nausea, dizziness, vomiting, sweating"
Thrombophlebitis,"redness_along _vein, Pain, swelling, warmth_in_affected_area"
Acne,"painful_skin, blackheads, whiteheads, cysts, Pimples,  red_swollen_skin, nodules"
Food Poisining,"diarrhea, abdominal_cramps, Nausea, dehydration, fever, vomiting"
Tuberculosis,"weight_loss, Cough, coughing_up_blood, night_sweats, chest_pain, fatigue"
