Diseases,Description,Symptoms,Causes,Prevention,Treatment,Illness_Type
Food Allergy,An abnormal immune response to specific foods.,"Hives, itching, swelling of lips or tongue, difficulty breathing, abdominal pain, nausea, vomiting, diarrhea, and anaphylaxis in severe cases","Allergens such as peanuts, tree nuts, fish, shellfish, eggs, milk, soy, and wheat","Avoidance of known allergens, reading food labels, and consultation with an allergist for management and possible desensitization therapy","Antihistamines for mild reactions; epinephrine auto-injectors (e.g., EpiPen) for severe reactions (anaphylaxis)",Allergic Reaction 
Tendinitis,"Inflammation of the tendons, often due to overuse.","Pain, tenderness, and stiffness in the affected tendon, swelling, and limited range of motion in the joint near the tendon","Overuse or repetitive motion, injury, aging, and certain medical conditions (e.g., rheumatoid arthritis)","Stretching and strengthening exercises, proper warm-up before activities, using ergonomic tools, and avoiding repetitive motions","Rest, ice application, over-the-counter pain relievers (e.g., ibuprofen, naproxen), physical therapy, corticosteroid injections, and, in severe cases, surgery",Musculoskeletal Disorder 
Otitis Media(Ear Infection),A middle ear infection common in children.,"Ear pain, difficulty hearing, fluid drainage from the ear, fever, irritability in children, and balance issues","Bacterial or viral infections, allergies, respiratory infections, and blockage of the Eustachian tube","Keeping vaccinations up to date, avoiding secondhand smoke exposure, practicing good hygiene, and managing allergies","Observation, antibiotics for bacterial infections, pain relief with acetaminophen or ibuprofen, warm compresses, and in some cases, surgical intervention (e.g., tympanostomy tubes)",Infection 
Otitis Externa(Swimmer's Ear),An outer ear infection often due to water exposure.,"Ear pain, itching in the ear canal, redness inside the ear, fluid drainage, hearing loss, and swelling","Bacterial infection from water exposure (commonly known as “swimmer’s ear”), excessive moisture in the ear, skin conditions like eczema, or foreign object injury","Keep ears dry, avoid inserting objects in the ear, use earplugs when swimming, and treat skin conditions that affect the ear canal","Topical antibiotics (ear drops), corticosteroids to reduce inflammation, pain relief, and keeping the ear dry",Infection 
Tinnitus,Ringing or other noises in one or both ears not caused by an external sound.,"Ringing, buzzing, hissing, roaring, or clicking sounds in the ears that are not caused by external noise","Exposure to loud noises, ear infections, earwax buildup, age-related hearing loss, ototoxic medications, and underlying conditions such as high blood pressure","Protect ears from loud noises, use ear protection, avoid prolonged exposure to high-volume environments, maintain cardiovascular health, and avoid ototoxic substances","No specific cure; treatments include sound therapy, hearing aids, cognitive behavioral therapy (CBT), and managing underlying conditions (e.g., earwax removal)",Ear and auditory condition
Nosebleeds(Epistaxis),"Bleeding from the nose, often due to dry air or injury.","Bleeding from one or both nostrils, which can range from light to heavy; can be sudden or frequent; may be accompanied by lightheadedness or dizziness in severe cases","Dry air, nose picking, nasal trauma, allergies, upper respiratory infections, blood-thinning medications, hypertension, and bleeding disorders","Use of humidifiers, avoiding nose picking or blowing too hard, keeping nasal passages moist (e.g., with saline sprays), treating underlying conditions (e.g., allergies), and avoiding excessive use of nasal decongestants","Pinching the nostrils and leaning forward, applying cold compresses, and using nasal packing; if persistent, cauterization, nasal tampons, or medical evaluation may be required",Nasal/oral condition
Nasal Polyps,Non-cancerous growths on the lining of the nasal passages or sinuses.,"Persistent nasal congestion, runny nose, reduced or absent sense of smell, postnasal drip, facial pain or pressure, snoring, and in severe cases, difficulty breathing","Chronic inflammation of the nasal passages due to asthma, allergies, chronic sinus infections, or immune system responses; also linked to conditions like aspirin sensitivity and cystic fibrosis","Managing allergies and asthma, avoiding nasal irritants, practicing good nasal hygiene (e.g., using saline sprays), and treating infections and inflammation early","Corticosteroid nasal sprays (e.g., mometasone) to reduce inflammation; oral corticosteroids or surgery (polypectomy) may be required for severe or persistent cases",Nasal/oral condition
Vertigo,"A sensation of spinning or dizziness, often linked to inner ear issues.","Sensation of spinning, dizziness, loss of balance, nausea, vomiting, headaches, abnormal eye movements, and difficulty walking","Inner ear disorders (e.g., benign paroxysmal positional vertigo - BPPV, Meniere’s disease, labyrinthitis), head injuries, migraines, stroke, or vestibular neuritis","Managing underlying conditions (e.g., ear infections, migraines), avoiding sudden head movements, and practicing balance exercises","Medications like meclizine for dizziness, antihistamines, or vestibular rehabilitation therapy (VRT); in severe cases, surgery may be necessary to correct inner ear issues",Neurological and vestibular disorder
Sore Throat,Pain in the throat often caused by infection or irritation.,"Pain or scratchy sensation in the throat, difficulty swallowing, swollen glands in the neck or jaw, hoarse voice, and red or swollen tonsils","Viral infections (e.g., common cold, flu, COVID-19), bacterial infections (e.g., strep throat), allergies, dry air, irritants (smoke, pollution), or gastroesophageal reflux disease (GERD)","Practice good hygiene (handwashing), avoid close contact with sick individuals, stay hydrated, avoid smoking, and use a humidifier in dry environments","Over-the-counter pain relievers (ibuprofen or acetaminophen), throat lozenges, saltwater gargles, staying hydrated; for bacterial infections, antibiotics like amoxicillin may be prescribed",Respiratory/Infection
Conjunctivitis,Inflammation or infection of the outer membrane of the eye.,"Redness in the white of the eye or inner eyelid, increased tear production, itching, irritation, discharge (yellow or green), crusting of the eyelids or lashes, sensitivity to light","Viral infections (e.g., adenovirus), bacterial infections (e.g., Staphylococcus or Streptococcus), allergies (e.g., pollen, dust mites), chemical exposure, or irritants (e.g., smoke, contact lenses)","Practice good hygiene (handwashing, avoiding touching eyes), avoid sharing personal items (towels, eye makeup), change pillowcases regularly, and use protective eyewear in hazardous environments",Viral conjunctivitis usually resolves on its own; bacterial conjunctivitis may require antibiotic eye drops or ointments; allergic conjunctivitis can be treated with antihistamine or anti-inflammatory eye drops,Infection 
Styes,A painful lump on the eyelid caused by a blocked gland.,"Red, swollen lump on the edge of the eyelid (often resembling a pimple), tenderness or pain in the affected area, increased tearing, sensitivity to light, a sensation of something in the eye",Bacterial infection (usually Staphylococcus) in the oil glands at the base of the eyelashes or in the eyelid follicles,"Maintain good eye hygiene (clean eyelids regularly), avoid rubbing eyes with unclean hands, remove makeup before sleeping, replace old makeup, avoid sharing personal items like towels","Warm compress applied to the affected eye for 5-10 minutes several times a day, keeping the eye clean, over-the-counter pain relievers, antibiotic ointments or eye drops for bacterial infection if prescribed, incision and drainage if necessary (performed by a doctor)",Infection 
Dry Eye Syndrome,A condition where the eyes don't produce enough tears.,"Dryness, burning, stinging, redness, blurred vision, light sensitivity","Aging, environmental factors, hormonal changes, medications, autoimmune conditions","Limit screen time, take regular breaks from screens, use a humidifier, avoid smoke or windy environments, wear sunglasses outdoors, stay hydrated","Artificial tears, cyclosporine drops, punctal plugs, warm compresses, eyelid hygiene, omega-3 supplements",Eye disorder
Allergic Conjunctivitis,An allergic reaction causing redness and itching in the eyes.,"Itchy eyes, redness, swelling, watery discharge","Allergens like pollen, dust mites, mold spores, pet dander","Avoid allergens, keep windows closed during high pollen seasons, use air purifiers, wear sunglasses outside","Antihistamines, decongestants, eye drops, steroid eye drops",Eye disorder/allergy
Blepharitis,"Inflammation of the eyelids, often due to an infection or blockage.","Red, swollen eyelids, flaking skin, burning sensation, crusting along the eyelashes","Bacterial infections, clogged oil glands, dandruff, allergies","Proper eyelid hygiene, avoid touching the eyes, use warm compresses","Warm compresses, eyelid scrubs, antibiotics, steroid eye drops",Eye disorder
Chalazion,A cyst in the eyelid caused by a blocked gland.,"Painless lump on the eyelid, redness, swelling","Blocked oil glands, poor eyelid hygiene, chronic blepharitis","Maintain eyelid hygiene, avoid rubbing eyes","Warm compresses, eyelid hygiene, antibiotic ointments if infected, surgical drainage if necessary",Eye disorder
Urinary Tract Infection,"A bacterial infection of the urinary tract, common in women.","Painful urination, frequent urination, cloudy or foul-smelling urine, pelvic pain","Bacterial infections (E. coli), sexual activity, poor hygiene, urinary catheter use","Hydration, proper hygiene, urinate after intercourse, avoid holding in urine","Antibiotics (e.g., trimethoprim, nitrofurantoin), increased fluid intake",Bacterial infection
Yeast Infection(Candidiasis),"A yeast infection in the vagina, often causing itching and discharge.","Itching, irritation, thick white discharge resembling cottage cheese, redness, swelling, pain during intercourse, burning during urination","Overgrowth of Candida yeast, often triggered by antibiotic use, hormonal changes (e.g., pregnancy, menstrual cycle), weakened immune system, diabetes, or certain medications","Avoid wearing tight clothing, use breathable underwear, avoid unnecessary antibiotics, maintain a balanced diet","Over-the-counter antifungal creams (e.g., clotrimazole, miconazole), oral antifungal medication (e.g., fluconazole), maintain hygiene, and follow up with a healthcare provider if symptoms persist",Fungal infection
Bladder Infection(Interstitial Cystitis),"Inflammation of the bladder, causing pelvic pain and discomfort.","Frequent and urgent need to urinate, pain during urination, pelvic pain, discomfort in the bladder, pressure in the bladder, pain during sexual intercourse","The exact cause is often unknown; potential triggers include bladder irritation, infections, autoimmune disorders, or nerve damage; may be linked to certain foods, beverages, or stress","Avoid irritants such as caffeine, alcohol, spicy foods, and artificial sweeteners; practice good hygiene, stay hydrated, and empty the bladder regularly; manage stress and seek treatment for recurrent infections","Antibiotics (e.g., trimethoprim-sulfamethoxazole, fosfomycin), pain relief with NSAIDs",Bacterial infection
Bacterial Vaginosis,"An imbalance of bacteria in the vagina, causing discharge and odor.","Thin, gray or white vaginal discharge, a fishy odor (especially after intercourse), vaginal itching, and burning during urination. Some women may have no symptoms at all.","An imbalance in the normal bacteria found in the vagina, often caused by an overgrowth of certain bacteria, and factors such as multiple sexual partners, douching, and lack of lactobacilli (the good bacteria).","Practice good hygiene, avoid douching, limit the number of sexual partners, use condoms, and maintain a healthy vaginal flora.","Antibiotics (e.g., metronidazole, clindamycin)",Bacterial infection
Headaches(Tension),"Headaches caused by muscle tension in the head, neck, and shoulders.","Dull, aching pain around the forehead or neck, tightness or pressure sensation","Muscle tension in the head, neck, and shoulders, stress, anxiety, fatigue, poor posture, skipping meals, eye strain, and dehydration","Manage stress through relaxation techniques (e.g., yoga, meditation), maintain good posture, stay hydrated, establish regular sleep patterns, and avoid triggers like skipping meals or excessive screen time","Over-the-counter pain relievers (e.g., ibuprofen, acetaminophen), stress reduction techniques",Neurological disorder
Migraine,Severe headaches often accompanied by nausea and sensitivity to light.,"Throbbing pain, sensitivity to light and sound, nausea, visual disturbances (aura)","Genetic factors, stress, hormonal changes, certain foods, sensory stimuli","Avoid known triggers (e.g., certain foods, stress), maintain regular sleep patterns, stay hydrated","NSAIDs (e.g., ibuprofen), triptans, anti-nausea medications, preventive medications (e.g., beta-blockers, anti-seizure drugs)",Neurological disorder
Insomnia(short-term),Temporary difficulty in falling or staying asleep.,"Difficulty falling or staying asleep, waking up too early, daytime fatigue","Stress, jet lag, shift work, caffeine or alcohol consumption, medications","Limit caffeine intake, avoid naps during the day, establish a regular sleep routine, avoid screen time before bed","Sleep aids (e.g., melatonin), cognitive behavioral therapy for insomnia (CBT-I), relaxation techniques",Sleep disorder
Restless Leg Syndrome,A condition causing an uncontrollable urge to move the legs.,"Uncomfortable sensations in the legs (itching, tingling, crawling), urge to move legs, difficulty sleeping","Genetic factors, low iron levels, pregnancy, kidney failure, medications (e.g., antidepressants, antihistamines)","Regular exercise, iron supplements, avoid caffeine and alcohol, establish a sleep routine","Dopamine agonists (e.g., pramipexole), iron supplements, anti-seizure drugs (e.g., gabapentin)",Neurological disorder
Chickenpox,A contagious viral illness causing an itchy rash.,"Itchy red spots or blisters, fever, fatigue, loss of appetite",Varicella-zoster virus,"Vaccination, avoid contact with infected individuals, maintain proper hygiene","Antihistamines for itching, acetaminophen for fever, antiviral medications (e.g., acyclovir) for severe cases",Viral infection
Measels,A viral infection causing a red rash and flu-like symptoms.,"High fever, cough, runny nose, red eyes, red blotchy rash",Measles virus (paramyxovirus),"Vaccination (MMR), avoid contact with infected individuals","Acetaminophen for fever, vitamin A supplements, hydration",Viral infection
Mumps,"A viral infection affecting the salivary glands, causing swelling.","Swollen salivary glands, fever, headache, fatigue, muscle aches",Mumps virus (paramyxovirus),"Vaccination (MMR), avoid contact with infected individuals","Acetaminophen or ibuprofen for pain and fever, cold compresses, hydration",Viral infection
Rubella,A contagious viral disease causing a red rash.,"Low-grade fever, rash, swollen lymph nodes, joint pain",Rubella virus (togavirus),"Vaccination (MMR), avoid contact with infected individuals","Acetaminophen for fever and pain, rest, hydration",Viral infection
Scarlet Fever,A bacterial illness causing a high fever and rash.,"High fever, sore throat, red rash (feels like sandpaper), strawberry tongue",Bacterial infection (Group A Streptococcus),"Proper hygiene (e.g., handwashing), avoid contact with infected individuals","Antibiotics (e.g., penicillin, amoxicillin), acetaminophen for fever",Bacterial infection
"Hand, Foot, and Mouth Diseases","A viral infection causing fever, sore throat, and a rash on the hands, feet, and mouth.","Fever, sore throat, painful sores in the mouth, rash on the hands and feet, loss of appetite, irritability in infants and toddlers","Viral infection, most commonly caused by coxsackievirus A16; spreads through close personal contact, respiratory droplets, and contaminated surfaces","Wash hands frequently, disinfect surfaces and objects, avoid close contact with infected individuals, and keep children at home when they are ill","No specific antiviral treatment; management focuses on relieving symptoms; pain relievers (e.g., acetaminophen), mouth rinses for sores, hydration to prevent dehydration, and soft foods to ease eating discomfort",Viral infection
Mononucleosis,A viral infection often known as the kissing disease.,"Fatigue, fever, sore throat, swollen lymph nodes, swollen spleen","Epstein-Barr virus (EBV), spread through saliva","Avoid sharing utensils or drinks, practice good hygiene","Rest, hydration, acetaminophen or ibuprofen for pain and fever, corticosteroids in severe cases",Viral infection
Chlamydia,A sexually transmitted infection caused by bacteria.,"Painful urination, abnormal vaginal or penile discharge, pain during intercourse, pelvic pain","Bacterial infection (Chlamydia trachomatis), spread through sexual contact","Use condoms during intercourse, get regular STD screenings","Antibiotics (e.g., azithromycin, doxycycline), partner treatment",Bacterial infection
Gonorrhea,A bacterial sexually transmitted infection affecting the genitals.,"Painful urination, abnormal discharge from genitals, pain during intercourse, pelvic pain","Bacterial infection (Neisseria gonorrhoeae), spread through sexual contact","Use condoms during intercourse, get regular STD screenings","Antibiotics (e.g., ceftriaxone, azithromycin), partner treatment",Bacterial infection
Herpes,A viral sexually transmitted infection causing blisters.,"Painful blisters or sores around the mouth or genitals, fever, body aches, swollen lymph nodes","Herpes simplex virus (HSV-1 and HSV-2), spread through direct contact with infected areas","Use condoms during intercourse, avoid direct contact with sores, get regular STD screenings","Antiviral medications (e.g., acyclovir, valacyclovir), pain relief",Viral infection
Human Papillomavirus,A common sexually transmitted infection caused by human papillomavirus.,"Genital warts, abnormal Pap smear results, possible progression to cervical cancer","Human papillomavirus (HPV), spread through sexual contact","HPV vaccination, use condoms during intercourse, get regular Pap smears","No treatment for the virus itself (warts may be treated with topical solutions), vaccination for prevention",Viral infection
Iron Deficiency,"A condition where there is a lack of iron in the body, causing fatigue.","Fatigue, weakness, pale skin, shortness of breath, dizziness","Lack of dietary iron, blood loss, pregnancy, inability to absorb iron","Eat iron-rich foods (e.g., red meat, spinach), take iron supplements, manage blood loss, avoid tea/coffee with meals","Iron supplements (ferrous sulfate), dietary changes, vitamin C supplements to aid absorption",Nutritional disorder
Varicose Veins,"Enlarged veins in the legs, causing pain and discomfort.","Bulging, twisted veins (usually in the legs), leg pain, swelling, heaviness","Genetic factors, prolonged standing or sitting, obesity, pregnancy","Regular exercise, avoid prolonged sitting or standing, elevate legs, wear compression stockings","Compression stockings, lifestyle changes (exercise, weight loss), laser therapy or sclerotherapy for severe cases",Vascular disorder
Thrombophlebitis,"Inflammation of a vein, often in the legs, sometimes with a blood clot.","Pain, swelling, redness along a vein, warmth in the affected area","Blood clotting in the veins (usually in the legs), prolonged inactivity, injury to the vein, varicose veins","Avoid prolonged inactivity, stay hydrated, avoid injury to the veins, wear compression stockings","Blood thinners (anticoagulants), compression stockings, elevation of the legs, lifestyle changes",Vascular disorder
